Date,Value,rsi12,sma12
1973-05-01,16.314338759668576,38.411188741852435,53.80177713999563
1973-06-01,15.808323047681975,34.75286145605916,52.05249577124538
1973-07-01,15.889518573988784,35.82280824077423,50.63159841850419
1973-08-01,15.27850109470612,31.572505636561147,48.41592538026411
1973-09-01,15.475308601805558,34.311106593932735,46.762596384753095
1973-10-01,15.913516308933382,40.13114661236395,45.67584448348437
1973-11-01,14.651845159710565,31.394538590614932,43.2189161000892
1973-12-01,13.493329686205882,25.773900123124466,40.084996951902575
1974-01-01,13.530721892513949,26.238872238042656,36.944137621987174
1974-02-01,12.957321280205385,23.7500160841479,34.48786764459649
1974-03-01,13.310364239140156,28.31699293544634,32.83755407526066
1974-04-01,12.550411048540903,24.825332674976718,31.275105827324722
1974-05-01,11.99543694732966,22.60478704289926,29.957905685745292
1974-06-01,11.888498820078995,22.187607014799326,28.91080114897364
1974-07-01,10.39414180532705,17.315923204080185,27.368560729249136
1974-08-01,9.824195723141194,15.86643112624588,26.05972118672286
1974-09-01,8.680421305646334,13.409093737408396,24.3178867820125
1974-10-01,8.744983833809583,14.227114391762896,22.159217430295747
1974-11-01,8.948984512755604,16.932099411294086,20.954014165352344
1974-12-01,8.289060055923082,15.236401717446043,20.075889298212473
1975-01-01,8.920995508404252,23.26430461561771,19.828008663010394
1975-02-01,9.76224671616647,32.54251869568301,20.560717213971653
1975-03-01,10.163796767444037,36.5381225016519,21.245811344488786
1975-04-01,10.23307613660592,37.23780852007526,22.28018433158033
1975-05-01,10.81813911933581,43.02492764223802,23.981862714858558
1975-06-01,11.011354609247666,44.856754924274924,25.870958373981527
1975-07-01,10.902767048238578,43.98963983730012,28.09376809341652
1975-08-01,10.089769593328018,37.99130421909984,29.937507517821018
1975-09-01,9.91890535655942,36.83958752938296,31.89004866715223
1975-10-01,10.327599777501112,41.469569254445105,34.16025323904241
1975-11-01,10.4358594579479,42.68370986112529,36.30622077652835
1975-12-01,10.250368416256835,41.09049836024746,38.460728830095135
1976-01-01,11.18505136262215,51.11986695447671,40.78202569166672
1976-02-01,11.586092994449691,54.727608219391506,42.630783151975756
1976-03-01,11.631754403566507,55.13887307188252,44.180845699494974
1976-04-01,11.68916413220637,55.69095720975139,45.718608090301316
1976-05-01,11.532053585609429,53.71736160017026,46.60964425346234
1976-06-01,11.543841631417104,53.851224032002406,47.35918334577296
1976-07-01,11.757490488689914,56.34752418132773,48.3890070411086
1976-08-01,11.597986002509256,53.96986901178474,49.720554107165675
1976-09-01,11.805990949539794,56.576548833472955,51.3653008825065
1976-10-01,11.345696136316702,49.77224514376222,52.0571905399496
1976-11-01,11.248855860507968,48.435287596960755,52.53648868460255
1976-12-01,11.597589726582948,53.35727982385394,53.55872047323643
1977-01-01,11.437961346787551,50.929750875575635,53.54287746666134
1977-02-01,11.014841854222782,45.00858069780699,52.73295850652929
1977-03-01,10.895746511662752,43.45720119316546,51.759485849969536
1977-04-01,10.636037409141364,40.16384315018065,50.46555967833864
1977-05-01,10.548486693557004,39.07482449053269,49.245348252535514
1977-06-01,10.53002395909076,38.83259813680929,47.99379609460276
1977-07-01,10.567692447775409,39.665059295609105,46.60359068745954
1977-08-01,10.268385666710998,35.4795443225278,45.06273029668812
1977-09-01,10.067742820070707,32.93780432790348,43.092834921224004
1977-10-01,9.766666299556553,29.480556338672017,41.40186085413315
1977-11-01,9.766299983660202,29.476449775574885,39.82195770235099
1977-12-01,9.678266582535922,28.437915438813395,37.745344003597616
1978-01-01,9.241462260934693,23.883156328794872,35.49146112469922
1978-02-01,9.045263570704744,22.145177215287674,33.586177501155944
1978-03-01,8.950420077633899,21.326754637559556,31.741973621522117
1978-04-01,9.262588720866846,30.54357577969382,30.940284673981548
1978-05-01,9.634910728598449,39.73049156664044,30.994923596990528
1978-06-01,9.54967898104174,38.4600961276638,30.96388176289507
1978-07-01,9.425524047787365,36.60035932655241,30.70849009880701
1978-08-01,10.023970854003757,49.452864860779506,31.872933476994653
1978-09-01,9.941887473004412,47.996960057852924,33.127863121157105
1978-10-01,9.533608358208836,41.385725252117624,34.11996053061091
1978-11-01,8.92841890229315,33.84680316251323,34.484156646189106
1978-12-01,9.011941819133831,35.61268587425162,35.08205418247562
1979-01-01,9.257636919139978,40.693062621924774,36.48287970690311
1979-02-01,9.00374037104564,37.369093116337936,37.75153936532397
1979-03-01,9.070785029660769,38.8089538249812,39.20838929760911
1979-04-01,9.133063566217418,40.20204922366907,40.01326208460704
1979-05-01,8.794383289814961,35.418374193762986,39.65391897020059
1979-06-01,8.853937764693955,36.8596059436953,39.52054478820322
1979-07-01,8.827498045542367,36.46547752480527,39.50930463805762
1979-08-01,9.127165797215032,43.8844237445509,39.0452678783719
1979-09-01,9.11275899074096,43.61730305000683,38.6802964610514
1979-10-01,8.681843306899314,36.38977694993846,38.2639674358698
1979-11-01,8.518784302983555,34.05998893310918,38.281732916752794
1979-12-01,8.745204404669295,39.88967106392374,38.638148349225474
1980-01-01,8.850934180729114,42.48017529154935,38.78707440502752
1980-02-01,9.05447609219252,47.254033873676576,39.61081946813907
1980-03-01,8.081150900785499,32.97659103492091,39.12478923563405
1980-04-01,7.844024504719217,30.525367379429213,38.31839908194739
1980-05-01,8.104225807176492,36.202139028814315,38.38371281820167
1980-06-01,8.51207796230674,44.0231908102374,38.98067822374685
1980-07-01,8.88086552729584,50.06201177659979,40.11372274472972
1980-08-01,9.07100598161838,52.918801930100216,40.8665875935255
1980-09-01,9.196040131743242,54.7747710741911,41.796376595540856
1980-10-01,9.35784104675711,57.158874051333356,43.527134687323766
1980-11-01,9.654043663233388,61.23952803678146,45.79209627929645
1980-12-01,9.389902084921742,56.04613707319646,47.13846844673584
1981-01-01,9.259404530877957,53.596456681591796,48.06482522923938
1981-02-01,8.829899353831307,46.326268483004945,47.98751144668341
1981-03-01,9.081096883854624,50.601492938200025,49.456253271956676
1981-04-01,9.085561230788748,50.677660829079514,51.13561105942753
1981-05-01,8.818483466548066,46.04423976517596,51.955786120791004
1981-06-01,8.76534074430493,45.148214179331895,52.04953806821554
1981-07-01,8.445319467875509,40.0306702163916,51.2135929381982
1981-08-01,8.399806316566444,39.3388562126102,50.08193079507403
1981-09-01,7.581163051923159,29.37682855446934,47.96543558509721
1981-10-01,7.649141713319213,30.960589271760885,45.78224518679951
1981-11-01,7.8107525657161085,34.75526191086834,43.575223009640084
1981-12-01,7.832562137141895,35.2789682650871,41.8446256089643
1982-01-01,7.388659973375995,29.94244608471588,39.87345805922464
1982-02-01,7.181823450546733,27.804548861875617,38.32998142413053
1982-03-01,6.950673793536034,25.578054303436602,36.24469487123358
1982-04-01,7.259072625426147,33.34654232864139,34.80043499619707
1982-05-01,7.192612484464624,32.547822414133826,33.67573355027689
1982-06-01,6.692133988197586,27.196414254297533,32.179750223190695
1982-07-01,6.638653100208757,26.684951162732773,31.067606968719126
1982-08-01,6.643422752166089,26.81885052833197,30.024273161695938
1982-09-01,7.398838200323304,44.37235390936602,31.273900274603996
1982-10-01,7.999840994534584,53.957571809429034,33.190315486076344
1982-11-01,8.347476938155426,58.472809344669656,35.16677777222645
1982-12-01,8.467738401400473,59.95485842827015,37.2231019524917
1983-01-01,8.75678322413474,63.38142192334808,40.00968327237772
1983-02-01,8.910493436624119,65.11321495861314,43.11873878043918
1983-03-01,9.232829705190518,68.51914726624223,46.697163194006315
1983-04-01,9.53158128416041,71.34746211975299,49.863906509932285
1983-05-01,9.874456504668398,74.2445691346873,53.33863540331174
1983-06-01,10.000117903130018,75.24529150562677,57.34270850758917
1983-07-01,10.01447599557102,75.36460449996594,61.39934628569194
1983-08-01,9.728056935665206,68.21020758411738,64.84862604034072
1983-09-01,9.984202458028776,70.90484136504614,67.0596666616474
1983-10-01,10.003391799449624,71.10501020201411,68.48861986102949
1983-11-01,9.853581649364278,67.16935841604335,69.21333228364396
1983-12-01,9.815010903608671,66.14112107166609,69.72885417059362
1984-01-01,9.894931809202536,67.27355261312583,70.05319839474177
1984-02-01,9.324529645727988,53.374567739510624,69.0749777931499
1984-03-01,9.326747066508249,53.41538433208066,67.81633088196976
1984-04-01,9.305643404594823,52.93426914646177,66.2818981341955
1984-05-01,9.231831816896046,51.1755342538133,64.35947856078933
1984-06-01,9.010185512291008,46.15232206437368,61.935064440684904
1984-07-01,8.868302214043302,43.19172675169376,59.25399129499556
1984-08-01,9.623063257373168,58.602550075141004,58.45335316924753
1984-09-01,9.687341313628083,59.62024990033487,57.51297054718825
1984-10-01,9.595070703048505,57.4100906713263,56.37172725296427
1984-11-01,9.691973221783089,59.145223942306096,55.703049380152834
1984-12-01,9.595054801133456,56.62802599793008,54.9102914573415
1985-01-01,9.99700117773045,63.630957870421106,54.60674189544944
1985-02-01,10.494935172607082,70.14536255784961,56.00430813031102
1985-03-01,10.373217214924736,66.94757813737272,57.13199094741869
1985-04-01,10.397118719816818,67.26724085190749,58.32640525620583
1985-05-01,10.608120467860097,70.05621659329805,59.899795451162895
1985-06-01,10.81004984586122,72.5022443734278,62.09562231025074
1985-07-01,10.99756395679338,74.60382489118247,64.71329715520814
1985-08-01,10.738799808877284,66.90592792370839,65.40524530925542
1985-09-01,10.47123466169755,59.93047059176828,65.43109703354153
1985-10-01,10.552516982943752,61.268684242268336,65.7526464977867
1985-11-01,11.164611128667469,69.60725817362027,66.62448268372955
1985-12-01,11.690521474467598,74.71055550428466,68.13136014259243
